"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"80","CrossesMnPc",0.971424006444503,1.23446266533081,0.786920523176927,0.432134982851591,"F3","Trehalose","NSD","male","Maternal",0.653150584768053," ",0.805873346398912," "
"81","CrossesMcPn",0.760817164797372,1.23838413583722,0.614362815850362,0.539580217214334,"F3","Trehalose","NSD","male","Paternal",0.733934239202712," ",0.907085452794518," "
"82","CrossesMnPn",-0.933030226990853,0.598901117102695,-1.55790363441727,0.120983796890537,"F1","Glucose","NSD","male","Parental",0.281821079815605," ",0.333915279417883," "
"83","CrossesMnPc",-0.0845130894682378,0.601148944275315,-0.140585940095292,0.88835167980366,"F1","Glucose","NSD","male","Maternal",0.940607660968581," ",0.999986154515138," "
"84","CrossesMcPn",0.440466433707578,0.6008536068431,0.733067803356959,0.46445506358325,"F1","Glucose","NSD","male","Paternal",0.671950920912307," ",0.840538845492131," "
"85","CrossesMnPn",2.28423921098878,0.516308332710922,4.42417653613139,1.6590607836149e-05,"F2","Glucose","NSD","male","Parental",0.0001313976140623,"***",0.000180750306425413,"***"
"86","CrossesMnPc",3.04324953138423,0.515771186638068,5.9003868580192,1.72199502455819e-08,"F2","Glucose","NSD","male","Maternal",3.65777450316066e-07,"***",4.45566212604431e-07,"***"
"87","CrossesMcPn",3.82031298138239,0.515831616518584,7.40612412857938,4.60887663723353e-12,"F2","Glucose","NSD","male","Paternal",1.52092929028706e-10,"***",1.73461357074062e-10,"***"
"88","CrossesMnPn",0.251364973407511,0.405985406149277,0.619147805808287,0.536429122461764,"F3","Glucose","NSD","male","Parental",0.733934239202712," ",0.906455741629266," "
"89","CrossesMnPc",0.551066291911696,0.404624424566015,1.36192048342793,0.17454962969408,"F3","Glucose","NSD","male","Maternal",0.361610679191713," ",0.4425922281903," "
"90","CrossesMcPn",0.00641803750716114,0.405909779556223,0.015811487750253,0.987398431360041,"F3","Glucose","NSD","male","Paternal",0.987398431360041," ",0.999986154515138," "
"91","CrossesMnPn",0.00333333333333325,0.0416992173578938,0.0799375514586785,0.936373798353889,"F1","Weight","NSD","male","Parental",0.975568575776091," ",0.999986154515138," "
"92","CrossesMnPc",-0.0491666666666647,0.0416992173578938,-1.17907888401549,0.239889153055896,"F1","Weight","NSD","male","Maternal",0.437516241223986," ",0.557061054722465," "
"93","CrossesMcPn",-0.0458333333333335,0.0416992173578938,-1.09914133255686,0.273142494377203,"F1","Weight","NSD","male","Paternal",0.482876909702555," ",0.607962326194419," "
"94","CrossesMnPn",0.0408333333333333,0.0474382027135391,0.860768979379552,0.390485532869654,"F2","Weight","NSD","male","Parental",0.622000277062866," ",0.766165927052307," "
"95","CrossesMnPc",0.0283333333333355,0.047438202713539,0.597268271406266,0.551062559855788,"F2","Weight","NSD","male","Maternal",0.742247529601674," ",0.912466422510139," "
"96","CrossesMcPn",-0.0300000000000001,0.047438202713539,-0.632401699136,0.527909478945505,"F2","Weight","NSD","male","Paternal",0.733934239202712," ",0.899401334499749," "
"97","CrossesMnPn",0.0676666666666663,0.0505761915274891,1.33791542271205,0.182233943240168,"F3","Weight","NSD","male","Parental",0.368186946546462," ",0.454487063261624," "
"98","CrossesMnPc",0.0240000000000004,0.0505761915274893,0.474531578498864,0.63556723491544,"F3","Weight","NSD","male","Maternal",0.795235146210152," ",0.978159238866141," "
"99","CrossesMcPn",0.066,0.0505761915274893,1.30496184087186,0.193198689028956,"F3","Weight","NSD","male","Paternal",0.375032749291503," ",0.467744194491157," "
"100","CrossesMhPh",15.9285509489906,2.88861836821448,5.51424553837355,1.1797746023435e-07,"F1","TAG","HSD","female","Parental",1.66853836617152e-06,"***",2.03511118904254e-06,"***"
"101","CrossesMhPc",12.9192436052367,2.90546188881896,4.4465369361593,1.51068446089639e-05,"F1","TAG","HSD","female","Maternal",0.000124631468023952,"***",0.00016903334238138,"***"
"102","CrossesMcPh",13.3191210311176,2.8927700341693,4.60427924577226,7.72585967903418e-06,"F1","TAG","HSD","female","Paternal",6.65095746282073e-05,"***",9.13858830605757e-05,"***"
"103","CrossesMhPh",2.90305244607722,2.37012565030179,1.22485170594545,0.222205378043518,"F2","TAG","HSD","female","Parental",0.411183783669314," ",0.519734613050941," "
"104","CrossesMhPc",2.17308886442218,2.36006190369121,0.920776213972781,0.358379495284448,"F2","TAG","HSD","female","Maternal",0.591326167219339," ",0.727898933250392," "
"105","CrossesMcPh",3.33279653011524,2.38211435929562,1.39909174264024,0.163478109782203,"F2","TAG","HSD","female","Paternal",0.354296218598956," ",0.425659983961208," "
"106","CrossesMhPh",-7.90878800051303,2.48210779952022,-3.1863193057295,0.00163986497964513,"F3","TAG","HSD","female","Parental",0.00773079204689847,"**",0.0107762555805251,"*"
